*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
10:49


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.04994500000000E-0001	
 4.52500000000000E+0002	 1.05163500000000E-0001	
 4.54500000000000E+0002	 1.04700500000000E-0001	
 4.56500000000000E+0002	 1.04844000000000E-0001	
 4.58500000000000E+0002	 1.05076356263779E-0001	
 4.60500000000000E+0002	 1.05354703544044E-0001	
 4.62500000000000E+0002	 1.05690050824310E-0001	
 4.64500000000000E+0002	 1.06104398104575E-0001	
 4.66500000000000E+0002	 1.06283245384841E-0001	
 4.68500000000000E+0002	 1.06423592665106E-0001	
 4.70500000000000E+0002	 1.06676439945371E-0001	
 4.72500000000000E+0002	 1.06951787225637E-0001	
 4.74500000000000E+0002	 1.07293634505902E-0001	
 4.76500000000000E+0002	 1.07583981786167E-0001	
 4.78500000000000E+0002	 1.07885829066433E-0001	
 4.80500000000000E+0002	 1.08194176346698E-0001	
 4.82500000000000E+0002	 1.08444523626963E-0001	
 4.84500000000000E+0002	 1.08649370907229E-0001	
 4.86500000000000E+0002	 1.08961218187494E-0001	
 4.88500000000000E+0002	 1.09368065467759E-0001	
 4.90500000000000E+0002	 1.09677412748025E-0001	
 4.92500000000000E+0002	 1.09916760028290E-0001	
 4.94500000000000E+0002	 1.10280607308555E-0001	
 4.96500000000000E+0002	 1.10602454588821E-0001	
 4.98500000000000E+0002	 1.10944801869086E-0001	
 5.00500000000000E+0002	 1.11283149149351E-0001	
 5.02500000000000E+0002	 1.11687996429617E-0001	
 5.04500000000000E+0002	 1.12052843709882E-0001	
 5.06500000000000E+0002	 1.12483190990147E-0001	
 5.08500000000000E+0002	 1.12993538270413E-0001	
 5.10500000000000E+0002	 1.13448885550678E-0001	
 5.12500000000000E+0002	 1.13892232830943E-0001	
 5.14500000000000E+0002	 1.14318080111209E-0001	
 5.16500000000000E+0002	 1.14693927391474E-0001	
 5.18500000000000E+0002	 1.15161774671739E-0001	
 5.20500000000000E+0002	 1.15573121952005E-0001	
 5.22500000000000E+0002	 1.15964969232270E-0001	
 5.24500000000000E+0002	 1.16250316512535E-0001	
 5.26500000000000E+0002	 1.16494663792801E-0001	
 5.28500000000000E+0002	 1.16753511073066E-0001	
 5.30500000000000E+0002	 1.17080858353331E-0001	
 5.32500000000000E+0002	 1.17310205633597E-0001	
 5.34500000000000E+0002	 1.17506052913862E-0001	
 5.36500000000000E+0002	 1.17614400194127E-0001	
 5.38500000000000E+0002	 1.17688747474393E-0001	
 5.40500000000000E+0002	 1.17668094754658E-0001	
 5.42500000000000E+0002	 1.17645942034923E-0001	
 5.44500000000000E+0002	 1.17577789315189E-0001	
 5.46500000000000E+0002	 1.17554136595454E-0001	
 5.48500000000000E+0002	 1.17484983875719E-0001	
 5.50500000000000E+0002	 1.17468331155985E-0001	
 5.52500000000000E+0002	 1.17457678436250E-0001	
 5.54500000000000E+0002	 1.17431525716515E-0001	
 5.56500000000000E+0002	 1.17344872996781E-0001	
 5.58500000000000E+0002	 1.17254720277046E-0001	
 5.60500000000000E+0002	 1.17104067557311E-0001	
 5.62500000000000E+0002	 1.16948914837577E-0001	
 5.64500000000000E+0002	 1.16788262117842E-0001	
 5.66500000000000E+0002	 1.16699109398108E-0001	
 5.68500000000000E+0002	 1.16594956678373E-0001	
 5.70500000000000E+0002	 1.16479803958638E-0001	
 5.72500000000000E+0002	 1.16344651238904E-0001	
 5.74500000000000E+0002	 1.16219498519169E-0001	
 5.76500000000000E+0002	 1.16131345799434E-0001	
 5.78500000000000E+0002	 1.16065693079700E-0001	
 5.80500000000000E+0002	 1.15976040359965E-0001	
 5.82500000000000E+0002	 1.15883387640230E-0001	
 5.84500000000000E+0002	 1.15753734920496E-0001	
 5.86500000000000E+0002	 1.15643082200761E-0001	
 5.88500000000000E+0002	 1.15578429481026E-0001	
 5.90500000000000E+0002	 1.15524776761292E-0001	
 5.92500000000000E+0002	 1.15491124041557E-0001	
 5.94500000000000E+0002	 1.15508971321822E-0001	
