*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:12


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 2.61201638597997E-0001	
 4.52500000000000E+0002	 2.62615751923054E-0001	
 4.54500000000000E+0002	 2.64978365248110E-0001	
 4.56500000000000E+0002	 2.66585978573167E-0001	
 4.58500000000000E+0002	 2.68511591898224E-0001	
 4.60500000000000E+0002	 2.70938705223281E-0001	
 4.62500000000000E+0002	 2.73395318548338E-0001	
 4.64500000000000E+0002	 2.75959431873395E-0001	
 4.66500000000000E+0002	 2.77116045198452E-0001	
 4.68500000000000E+0002	 2.78504158523509E-0001	
 4.70500000000000E+0002	 2.80640271848566E-0001	
 4.72500000000000E+0002	 2.82737385173623E-0001	
 4.74500000000000E+0002	 2.84955498498679E-0001	
 4.76500000000000E+0002	 2.86891611823736E-0001	
 4.78500000000000E+0002	 2.89045225148793E-0001	
 4.80500000000000E+0002	 2.90871338473850E-0001	
 4.82500000000000E+0002	 2.92435451798907E-0001	
 4.84500000000000E+0002	 2.93759565123964E-0001	
 4.86500000000000E+0002	 2.95276678449021E-0001	
 4.88500000000000E+0002	 2.97129291774078E-0001	
 4.90500000000000E+0002	 2.99098905099135E-0001	
 4.92500000000000E+0002	 3.00678518424192E-0001	
 4.94500000000000E+0002	 3.02294631749248E-0001	
 4.96500000000000E+0002	 3.03982245074305E-0001	
 4.98500000000000E+0002	 3.05854858399362E-0001	
 5.00500000000000E+0002	 3.07743971724419E-0001	
 5.02500000000000E+0002	 3.09858585049476E-0001	
 5.04500000000000E+0002	 3.11674198374533E-0001	
 5.06500000000000E+0002	 3.14408311699590E-0001	
 5.08500000000000E+0002	 3.16939425024647E-0001	
 5.10500000000000E+0002	 3.19678038349704E-0001	
 5.12500000000000E+0002	 3.22558151674761E-0001	
 5.14500000000000E+0002	 3.24847264999817E-0001	
 5.16500000000000E+0002	 3.26704378324874E-0001	
 5.18500000000000E+0002	 3.29281991649931E-0001	
 5.20500000000000E+0002	 3.32428104974988E-0001	
 5.22500000000000E+0002	 3.35032218300045E-0001	
 5.24500000000000E+0002	 3.36437331625102E-0001	
 5.26500000000000E+0002	 3.38174944950159E-0001	
 5.28500000000000E+0002	 3.40456558275216E-0001	
 5.30500000000000E+0002	 3.42094671600273E-0001	
 5.32500000000000E+0002	 3.42926284925330E-0001	
 5.34500000000000E+0002	 3.43322398250386E-0001	
 5.36500000000000E+0002	 3.43370011575443E-0001	
 5.38500000000000E+0002	 3.43048124900500E-0001	
 5.40500000000000E+0002	 3.42288738225557E-0001	
 5.42500000000000E+0002	 3.41246351550614E-0001	
 5.44500000000000E+0002	 3.39798964875671E-0001	
 5.46500000000000E+0002	 3.38182578200728E-0001	
 5.48500000000000E+0002	 3.36610191525785E-0001	
 5.50500000000000E+0002	 3.35232304850842E-0001	
 5.52500000000000E+0002	 3.33895918175899E-0001	
 5.54500000000000E+0002	 3.32372031500955E-0001	
 5.56500000000000E+0002	 3.30753644826012E-0001	
 5.58500000000000E+0002	 3.29184758151069E-0001	
 5.60500000000000E+0002	 3.27670371476126E-0001	
 5.62500000000000E+0002	 3.26204484801183E-0001	
 5.64500000000000E+0002	 3.24680098126240E-0001	
 5.66500000000000E+0002	 3.23145211451297E-0001	
 5.68500000000000E+0002	 3.21714324776354E-0001	
 5.70500000000000E+0002	 3.20462938101411E-0001	
 5.72500000000000E+0002	 3.19322051426468E-0001	
 5.74500000000000E+0002	 3.17984164751524E-0001	
 5.76500000000000E+0002	 3.16820278076581E-0001	
 5.78500000000000E+0002	 3.15892891401638E-0001	
 5.80500000000000E+0002	 3.14687004726695E-0001	
