*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:13


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.88262000000000E-0001	
 4.52500000000000E+0002	 1.89706000000000E-0001	
 4.54500000000000E+0002	 1.90583500000000E-0001	
 4.56500000000000E+0002	 1.91169000000000E-0001	
 4.58500000000000E+0002	 1.92504500000000E-0001	
 4.60500000000000E+0002	 1.94464500000000E-0001	
 4.62500000000000E+0002	 1.95930500000000E-0001	
 4.64500000000000E+0002	 1.97355530919858E-0001	
 4.66500000000000E+0002	 1.98433056560564E-0001	
 4.68500000000000E+0002	 1.99261582201271E-0001	
 4.70500000000000E+0002	 1.99845607841977E-0001	
 4.72500000000000E+0002	 2.00764633482683E-0001	
 4.74500000000000E+0002	 2.02502659123389E-0001	
 4.76500000000000E+0002	 2.04059684764095E-0001	
 4.78500000000000E+0002	 2.05151710404801E-0001	
 4.80500000000000E+0002	 2.06081236045507E-0001	
 4.82500000000000E+0002	 2.06920761686213E-0001	
 4.84500000000000E+0002	 2.08026287326920E-0001	
 4.86500000000000E+0002	 2.09165312967626E-0001	
 4.88500000000000E+0002	 2.10348338608332E-0001	
 4.90500000000000E+0002	 2.11383864249038E-0001	
 4.92500000000000E+0002	 2.12412889889744E-0001	
 4.94500000000000E+0002	 2.13705415530450E-0001	
 4.96500000000000E+0002	 2.15015441171156E-0001	
 4.98500000000000E+0002	 2.16162466811862E-0001	
 5.00500000000000E+0002	 2.17229992452569E-0001	
 5.02500000000000E+0002	 2.18625018093275E-0001	
 5.04500000000000E+0002	 2.20335543733981E-0001	
 5.06500000000000E+0002	 2.21903569374687E-0001	
 5.08500000000000E+0002	 2.23644095015393E-0001	
 5.10500000000000E+0002	 2.25607620656099E-0001	
 5.12500000000000E+0002	 2.27593146296805E-0001	
 5.14500000000000E+0002	 2.29282171937511E-0001	
 5.16500000000000E+0002	 2.30721197578218E-0001	
 5.18500000000000E+0002	 2.32392223218924E-0001	
 5.20500000000000E+0002	 2.34192248859630E-0001	
 5.22500000000000E+0002	 2.35594774500336E-0001	
 5.24500000000000E+0002	 2.36493300141042E-0001	
 5.26500000000000E+0002	 2.37586325781748E-0001	
 5.28500000000000E+0002	 2.38902851422454E-0001	
 5.30500000000000E+0002	 2.39880377063160E-0001	
 5.32500000000000E+0002	 2.40585402703867E-0001	
 5.34500000000000E+0002	 2.41152928344573E-0001	
 5.36500000000000E+0002	 2.41528453985279E-0001	
 5.38500000000000E+0002	 2.41658979625985E-0001	
 5.40500000000000E+0002	 2.41485505266691E-0001	
 5.42500000000000E+0002	 2.41077030907397E-0001	
 5.44500000000000E+0002	 2.40488056548103E-0001	
